time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
2.299009,-1.0083,-0.4865,-1.4995,1.871
2.304335,-1.1007,-0.4886,-1.5786,1.986
2.308207,-1.1948,-0.4769,-1.7060,2.137
2.314295,-1.3195,-0.4584,-1.8430,2.313
2.317762,-1.4561,-0.4471,-2.0156,2.526
2.323310,-1.6024,-0.4307,-2.2116,2.765
2.326719,-1.7422,-0.4043,-2.3805,2.977
2.332019,-1.8330,-0.3961,-2.5480,3.164
2.336589,-1.8801,-0.4011,-2.6804,3.299
2.341581,-1.9174,-0.3953,-2.7679,3.390
2.346044,-1.9063,-0.3737,-2.8203,3.425
2.350412,-1.8394,-0.3554,-2.8188,3.385
2.355848,-1.7235,-0.3335,-2.7710,3.280
2.360393,-1.5775,-0.3271,-2.6818,3.129
2.364567,-1.4227,-0.3509,-2.5900,2.976
2.369328,-1.2683,-0.3548,-2.4980,2.824
2.374671,-1.1117,-0.3248,-2.4227,2.685
2.379861,-0.9790,-0.2873,-2.3501,2.562
2.384178,-0.8746,-0.2374,-2.2445,2.421
2.389891,-0.7740,-0.1751,-2.1589,2.300
2.392851,-0.6816,-0.1292,-2.0698,2.183
2.397673,-0.6087,-0.1112,-1.9608,2.056
2.401771,-0.5552,-0.1160,-1.8631,1.948
2.406833,-0.5329,-0.1263,-1.7816,1.864
2.412614,-0.5652,-0.1537,-1.7045,1.802
2.416451,-0.6401,-0.1859,-1.6176,1.750
2.421597,-0.7168,-0.2202,-1.5089,1.685
2.425600,-0.7501,-0.2492,-1.3710,1.582
2.431097,-0.7332,-0.2779,-1.2204,1.451
2.434762,-0.6906,-0.2969,-1.0663,1.305
2.440252,-0.6327,-0.3017,-0.8938,1.136
2.444095,-0.5580,-0.3238,-0.6927,0.947
2.448911,-0.4674,-0.3470,-0.5030,0.769
2.454767,-0.3644,-0.3813,-0.3192,0.616
2.458166,-0.2305,-0.3891,-0.1025,0.464
2.466680,-0.0977,-0.3660,0.1451,0.406
2.467598,-0.0049,-0.3463,0.4192,0.544
2.478158,0.0476,-0.3540,0.7344,0.817
2.480065,0.0982,-0.3989,1.0379,1.116
2.481529,0.1593,-0.4422,1.2792,1.363
2.486229,0.2008,-0.4597,1.5128,1.594
2.491366,0.2098,-0.4510,1.7806,1.849
2.496337,0.1976,-0.4321,2.0457,2.100
2.500492,0.1585,-0.4404,2.2830,2.330
2.505628,0.0750,-0.4679,2.4725,2.517
2.509418,-0.0087,-0.4903,2.6253,2.671
2.514369,-0.0582,-0.4765,2.7743,2.816
2.519049,-0.0968,-0.3674,2.9023,2.927
2.524438,-0.1365,-0.1971,2.9950,3.005
2.529641,-0.1732,-0.0025,3.0336,3.039
2.533994,-0.2099,0.2156,3.0188,3.034
